"Schub_x","Schub_y"
9.9654,2189.8956,
9.9771,2390.0349,
9.9887,2206.7358,
10.0003,2380.5353,
10.0119,2349.8775,
10.0235,2247.1091,
10.0351,2409.0341,
10.0467,2209.1107,
10.0584,2452.8618,
10.0699,2331.0942,
10.0816,2334.9804,
10.0932,2461.066,
10.1048,2297.8456,
10.1164,2523.8929,
10.128,2317.2766,
10.1397,2458.2593,
10.1512,2452.8618,
10.1629,2380.5353,
10.1745,2571.8227,
10.1861,2360.6725,
10.1977,2569.016,
10.2093,2436.0216,
10.221,2444.4417,
10.2325,2558.4369,
10.2442,2385.501,
10.2558,2597.083,
10.2674,2411.409,
10.279,2556.062,
10.2906,2535.1197,
10.3022,2431.0559,
10.3139,2615.0027,
10.3255,2420.9086,
10.3371,2613.7073,
10.3487,2485.2468,
10.3603,2486.1104,
10.3719,2543.5398,
10.3835,2368.8767,
10.3951,2591.9014,
10.4068,2387.4441,
10.4183,2511.1548,
10.43,2495.8259,
10.4416,2397.1596,
10.4532,2580.8905,
10.4648,2358.2976,
10.4764,2571.6068,
10.488,2436.2375,
10.4996,2441.2032,
10.5113,2608.9575,
10.5229,2382.2625,
10.5345,2587.1516,
10.5461,2420.4768,
10.5577,2521.9498,
10.5693,2524.7565,
10.5809,2393.0575,
10.5925,2610.9006,
10.6041,2370.388,
10.6158,2551.3122,
10.6273,2431.2718,
10.639,2404.932,
10.6506,2538.1423,
10.6622,2311.8791,
10.6738,2511.8025,
10.6854,2311.2314,
10.697,2441.4191,
10.7086,2431.7036,
10.7203,2282.7326,
10.7319,2490.6443,
10.7435,2254.2338,
10.7551,2456.3162,
10.7667,2388.3077,
10.7783,2375.3537,
10.7899,2448.5438,
10.8016,2196.8044,
10.8131,2440.9873,
10.8248,2249.484,
10.8364,2331.3101,
10.848,2377.5127,
10.8596,2215.3718,
10.8712,2417.6701,
10.8828,2192.0546,
10.8944,2381.3989,
10.906,2266.1083,
10.9176,2232.6438,
10.9293,2384.6374,
10.9409,2203.4973,
10.9525,2451.1346,
10.9641,2221.6329,
10.9757,2310.7996,
10.9873,2368.229,
10.9989,2211.4856,
11.0106,2416.5906,
11.0221,2204.7927,
11.0338,2397.3755,
11.0453,2303.8908,
11.057,2266.5401,
11.0686,2399.7504,
11.0802,2185.3617,
11.0918,2400.8299,
11.1034,2260.7108,
11.115,2346.4231,
11.1266,2358.0817,
11.1382,2232.6438,
11.1499,2443.794,
11.1615,2220.9852,
11.1731,2411.6249,
11.1847,2294.1753,
11.1963,2281.4372,
11.2079,2413.7839,
11.2195,2176.5098,
11.2311,2406.2274,
11.2428,2233.9392,
11.2544,2320.0833,
11.266,2364.7746,
11.2776,2207.5994,
11.2892,2436.6693,
11.3008,2230.053,
11.3124,2378.8081,
11.324,2283.3803,
11.3357,2272.8012,
11.3473,2417.6701,
11.3588,2209.5425,
11.3705,2412.9203,
11.3821,2234.371,
11.3937,2299.3569,
11.4053,2359.3771,
11.4169,2182.1232,
11.4286,2395.0006,
11.4401,2202.6337,
11.4518,2347.2867,
11.4634,2289.2096,
11.475,2254.0179,
11.4866,2378.8081,
11.4982,2178.4529,
11.5098,2402.9889,
11.5214,2200.6906,
11.5331,2269.9945,
11.5447,2316.6289,
11.5562,2157.2947,
11.5679,2378.5922,
11.5795,2176.7257,
11.5911,2349.6616,
11.6027,2277.551,
11.6143,2232.6438,
11.6259,2404.0684,
11.6375,2188.1684,
11.6492,2420.6927,
11.6608,2284.4598,
11.6724,2327.6398,
11.684,2355.0591,
11.6956,2181.2596,
11.7072,2410.7613,
11.7188,2183.2027,
11.7304,2346.639,
11.742,2290.0732,
11.7536,2213.4287,
11.7653,2379.2399,
11.7769,2154.0562,
11.7885,2374.706,
11.8001,2193.7818,
11.8117,2246.8932,
11.8233,2372.3311,
11.8349,2208.0312,
11.8465,2423.7153,
11.8581,2210.622,
11.8697,2373.1947,
11.8814,2330.2306,
11.893,2269.9945,
11.9046,2423.2835,
11.9162,2179.1006,
11.9278,2407.091,
11.9394,2254.8815,
