0,1,2,3,4
$RQOBS,000005.4304,39265,3179,*42
$RQOBS,000005.4420,39185,3245,*42
$RQOBS,000005.4536,39291,3102,*42
$RQOBS,000005.4652,39237,3067,*4D
$RQOBS,000005.4768,39296,3090,*46
$RQOBS,000005.4884,39379,3043,*45
$RQOBS,000005.5000,39347,3220,*4A
$RQOBS,000005.5116,39209,3137,*42
$RQOBS,000005.5232,39410,3180,*45
$RQOBS,000005.5348,39443,3052,*41
$RQOBS,000005.5464,39354,3087,*41
$RQOBS,000005.5580,39177,3124,*41
$RQOBS,000005.5696,39244,3073,*45
$RQOBS,000005.5812,39440,2964,*4B
$RQOBS,000005.5928,39393,3080,*48
$RQOBS,000005.6044,39273,3081,*46
$RQOBS,000005.6160,39185,3139,*49
$RQOBS,000005.6276,39265,3125,*4D
$RQOBS,000005.6392,39361,3108,*4C
$RQOBS,000005.6508,39260,2950,*4D
$RQOBS,000005.6624,39164,3153,*4D
$RQOBS,000005.6740,39273,3294,*43
$RQOBS,000005.6856,39367,3333,*43
$RQOBS,000005.6972,39314,3381,*49
$RQOBS,000005.7088,39383,3313,*41
$RQOBS,000005.7204,39222,3228,*44
$RQOBS,000005.7320,39191,3307,*44
$RQOBS,000005.7436,39160,3107,*48
$RQOBS,000005.7552,39276,3197,*46
$RQOBS,000005.7668,39368,3173,*48
$RQOBS,000005.7784,39406,3144,*40
$RQOBS,000005.7900,39388,3073,*46
$RQOBS,000005.8016,39325,3149,*48
$RQOBS,000005.8132,39371,3107,*44
$RQOBS,000005.8248,39510,3080,*45
$RQOBS,000005.8364,39373,2988,*49
$RQOBS,000005.8480,39309,2825,*4F
$RQOBS,000005.8596,39366,2922,*46
$RQOBS,000005.8712,39320,3251,*44
$RQOBS,000005.8827,39134,3172,*48
$RQOBS,000005.8944,39144,3093,*45
$RQOBS,000005.9060,39417,3223,*41
$RQOBS,000005.9176,39448,3297,*42
$RQOBS,000005.9292,39267,3082,*46
$RQOBS,000005.9408,39248,2905,*49
$RQOBS,000005.9523,39183,3041,*4D
$RQOBS,000005.9639,39084,3157,*45
$RQOBS,000005.9755,39186,3205,*49
$RQOBS,000005.9871,39355,3130,*49
$RQOBS,000005.9987,39325,2895,*41
$RQOBS,000006.0103,39429,3151,*44
$RQOBS,000006.0221,39391,3081,*4F
$RQOBS,000006.0335,39296,3174,*46
$RQOBS,000006.0451,39241,3107,*4D
$RQOBS,000006.0567,39271,3016,*4B
$RQOBS,000006.0683,39323,3074,*40
$RQOBS,000006.0799,39272,2983,*4F
$RQOBS,000006.0915,39251,3135,*40
$RQOBS,000006.1031,39295,3213,*41
$RQOBS,000006.1147,39295,3083,*4A
$RQOBS,000006.1263,39304,2830,*47
$RQOBS,000006.1379,39289,2798,*44
$RQOBS,000006.1495,39205,3038,*49
$RQOBS,000006.1611,39294,3074,*47
$RQOBS,000006.1727,39397,3014,*47
$RQOBS,000006.1843,39316,3152,*40
$RQOBS,000006.1959,39283,3191,*48
